Designator(s),Type,MPN,Manufacturer,Description,Quantity,Unit,AWG,Color,Positions,Length (in),Terminals,Signal
HV DiscRearM.+_HV DiscFrontM.+,wire,Unassigned,,"",1,ea,,OGRD,,,,"HV DiscRearM.+_HV DiscFrontM.+"
DashDisplay.8_EB2.VSS,wire,Unassigned,,"",1,ea,,GNRD,,,,"DashDisplay.8_EB2.VSS"
EB2.+12v_DashDisplay.1,wire,Unassigned,,"",1,ea,,BKWH,,,,"EB2.+12v_DashDisplay.1"
MG2R.8_X1.13,wire,Unassigned,,"",1,ea,,GY,,,,"MG2R.8_X1.13"
MG2R.4_X1.12,wire,Unassigned,,"",1,ea,,LI,,,,"MG2R.4_X1.12"
ShiftConn.8_X124.1,wire,Unassigned,,"",1,ea,20 AWG,RD,,,,"ShiftConn.8_X124.1"
ShiftConn.3_Inverter.25,wire,Unassigned,,"",1,ea,,YEOG,,,,"ShiftConn.3_Inverter.25"
Pos Fuse.IN_X125.1,wire,Unassigned,,"",1,ea,10 AWG,RD,,,,"Pos Fuse.IN_X125.1"
HV DiscFrontF.+_X126.1,wire,Unassigned,,"",1,ea,10 AWG,BK,,,,"HV DiscFrontF.+_X126.1"
10863985,contact,10863985,Aptiv,"",33,ea,,,,,,


Summary
Harness Name,EVJ-55_plan
Description,""
Total Connectors,10
Total Wires,58
